"champion","tank","fighter","assassin","mage","marksman","support","attack","defense","magic","difficulty","engage","disengage","dive","pick","poke","siege","frontline","protect","scaling","early_pressure","skirmish","split_push","wave_clear","mobility","crowd_control","global_pressure","damage_physical","damage_magic","execution_difficulty","snowball_dependency","review_status","review_notes"
"Aatrox",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0.8,0.4,0.3,0.4,0.275,0,0.675,0,0,0,0.37,0.65,0.2,0.73,0.7,0.69,0.275,0.5,0.3333333,0,0.87,0.195,0.4,0.34,"pending",""
"Ahri",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.3,0.4,0.8,0.5,0.65,0,0.675,1,0.35,0.55,0.22,0.325,0.075,0.555,0.6,0.09,0.575,0.5,0.3333333,0,0.545,0.87,0.5,0.59,"pending",""
"Akali",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0.5,0.3,0.8,0.7,0.375,0.325,1,0.3,0,0.1,0.165,0,0.125,0.625,0.45,0.15,0.275,1,0.3333333,0,0.675,0.52,0.7,0.65,"pending",""
"Akshan",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0.275,0,0.35,0.3,0,0.45,0,0.65,0.3,0.55,0.6,0,0.15,0,0.3333333,0,0.35,0,0,0.5,"pending",""
"Alistar",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.6,0.9,0.5,0.7,0.9,0.675,0.325,0.35,0,0,0.795,0.675,0.375,0.21,0.15,0.18,0.275,0.5,0.6666667,0,0.39,0.325,0.7,0.18,"pending",""
"Ambessa",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,0.9,0.2,0,1,0.65,0.325,1,1,0,0.1,0.26,0.325,0.225,0.865,1,0.845,0.275,1,1,0,0.935,0,1,0.77,"pending",""
"Amumu",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,0.2,0.6,0.8,0.3,0.9,0.35,0,0.7,0,0,0.63,0.675,0.5,0.07,0.15,0.06,0.275,0,0.3333333,0,0.13,0.52,0.3,0.06,"pending",""
"Anivia",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.1,0.4,1,1,0.275,0.325,0,0.35,0.35,0.55,0.22,0.325,0.025,0.035,0.15,0.03,0.575,0,0.6666667,0,0.065,1,1,0.03,"pending",""
"Annie",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0.2,0.3,1,0.6,0.375,0.35,0,0.35,0.35,0.55,0.165,1,0.05,0.07,0.15,0.06,0.85,0,0.3333333,0,0.13,1,0.6,0.06,"pending",""
"Aphelios",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.6,0.2,0.1,1,0.2,0.325,0,0.35,0.675,0.9,0.11,0,0.45,0.21,0,0.18,0.7,0,0.6666667,0,0.74,0.065,1,0.18,"pending",""
