"period","entity_type","league_canonical","entity_name","metric","value","short_level","long_level","normalized_index","momentum_percent","trend_per_week","volatility_percent","regime","observations"
2026-06-01,"league","CBLOL","CBLOL","game_length_minutes",33.858333,33.258923,33.148607,100.332793,0.332793,0.14104,6.202327,"balanced",120
2026-06-01,"league","CBLOL","CBLOL","total_kills",22.25,24.787581,26.586093,93.235142,-6.764858,-1.861485,10.513091,"cold_deteriorating",120
2026-06-01,"league","CBLOL","CBLOL","total_kills_per_minute",0.670773,0.758346,0.810637,93.549364,-6.450636,-1.670122,11.691929,"cold_deteriorating",120
2026-06-08,"league","LCK","LCK","game_length_minutes",36.083333,33.462873,32.373572,103.364785,3.364785,0.331116,4.892074,"hot_accelerating",114
2026-06-08,"league","LCK","LCK","total_kills",31.25,29.042007,29.162487,99.586869,-0.413131,-0.630117,11.263708,"cold_deteriorating",114
2026-06-08,"league","LCK","LCK","total_kills_per_minute",0.882446,0.881202,0.910936,96.735865,-3.264135,-0.81861,7.432028,"cold_deteriorating",114
2026-06-08,"league","LCS","LCS","game_length_minutes",33.3,33.347936,33.1269,100.667242,0.667242,0.210578,3.450273,"hot_accelerating",110
2026-06-08,"league","LCS","LCS","total_kills",21.5,23.192854,24.529225,94.551925,-5.448075,-2.008854,14.30331,"cold_deteriorating",110
2026-06-08,"league","LCS","LCS","total_kills_per_minute",0.658443,0.703535,0.747696,94.09372,-5.90628,-2.32519,13.012665,"cold_deteriorating",110
2026-07-20,"league","LEC","LEC","game_length_minutes",33.964583,33.392376,33.545626,99.543159,-0.456841,-0.226949,6.450368,"balanced",113
2026-07-20,"league","LEC","LEC","total_kills",32,29.308569,28.324923,103.472724,3.472724,0.473988,17.054544,"hot_accelerating",113
2026-07-20,"league","LEC","LEC","total_kills_per_minute",0.961416,0.886874,0.850915,104.225917,4.225917,0.674366,11.448536,"hot_accelerating",113
2026-07-20,"league","LES","LES","game_length_minutes",31.293056,31.851477,31.229401,101.991956,1.991956,0.79219,9.687218,"hot_accelerating",111
2026-07-20,"league","LES","LES","total_kills",36.166667,33.751404,32.058196,105.281668,5.281668,0.799352,6.972784,"hot_accelerating",111
2026-07-20,"league","LES","LES","total_kills_per_minute",1.172169,1.0737,1.038896,103.350008,3.350008,-0.012977,9.483002,"hot_cooling",111
2026-07-20,"league","LFL","LFL","game_length_minutes",31.75,32.670291,32.623122,100.144587,0.144587,0.420896,13.551923,"hot_accelerating",112
2026-07-20,"league","LFL","LFL","total_kills",33.666667,34.110215,32.596761,104.642956,4.642956,0.692041,18.024831,"hot_accelerating",112
2026-07-20,"league","LFL","LFL","total_kills_per_minute",1.059979,1.050591,1.007956,104.229862,4.229862,0.249838,11.196106,"hot_accelerating",112
2026-06-08,"league","LPL","LPL","game_length_minutes",32.659091,32.669991,32.600605,100.212835,0.212835,0.223693,2.260291,"balanced",124
2026-06-08,"league","LPL","LPL","total_kills",31.636364,29.557355,28.730448,102.878155,2.878155,0.700698,14.032326,"hot_accelerating",124
2026-06-08,"league","LPL","LPL","total_kills_per_minute",0.987305,0.914386,0.889659,102.779336,2.779336,0.360215,13.534535,"hot_accelerating",124
2025-10-06,"team","CBLOL","Alpha7 Esports","aggression_ahead_league",101.063803,101.519637,101.706646,99.816129,-0.183871,,0,"insufficient",2
2025-10-06,"team","CBLOL","Alpha7 Esports","aggression_behind_league",106.887381,104.662073,103.749126,100.879956,0.879956,,0,"insufficient",2
2025-10-06,"team","CBLOL","Alpha7 Esports","combined_kills_per_minute",1.31873,1.142271,1.069877,106.766519,6.766519,,0,"insufficient",2
2025-10-06,"team","CBLOL","Alpha7 Esports","deaths_per_minute",0.965751,0.72598,0.627613,115.67325,15.67325,,0,"insufficient",2
2025-10-06,"team","CBLOL","Alpha7 Esports","game_length_minutes",28.227778,30.261944,31.096474,97.31632,-2.68368,,0,"insufficient",2
2025-10-06,"team","CBLOL","Alpha7 Esports","kills_per_minute",0.352979,0.41629,0.442264,94.127055,-5.872945,,0,"insufficient",2
2025-10-06,"team","CBLOL","Alpha7 Esports","rating_attack_global",100.099284,100.173492,100.203937,99.969618,-0.030382,,0,"insufficient",2
2025-10-06,"team","CBLOL","Alpha7 Esports","rating_attack_league",100.559039,101.676571,102.135046,99.551109,-0.448891,,0,"insufficient",2
2025-10-06,"team","CBLOL","Alpha7 Esports","rating_defense_global",91.955174,95.324519,96.706814,98.570633,-1.429367,,0,"insufficient",2
2025-10-06,"team","CBLOL","Alpha7 Esports","rating_defense_league",89.934663,92.912779,94.13457,98.70208,-1.29792,,0,"insufficient",2
2025-10-06,"team","CBLOL","Alpha7 Esports","snowball_index_league",101.13143,101.423164,101.54285,99.882133,-0.117867,,0,"insufficient",2
2025-09-29,"team","CBLOL","Farenvehn","aggression_ahead_league",101.776911,101.776911,101.776911,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Farenvehn","aggression_behind_league",101.351965,101.351965,101.351965,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Farenvehn","combined_kills_per_minute",1.030023,1.030023,1.030023,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Farenvehn","deaths_per_minute",0.602934,0.602934,0.602934,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Farenvehn","game_length_minutes",33.511111,33.511111,33.511111,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Farenvehn","kills_per_minute",0.427089,0.427089,0.427089,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Farenvehn","rating_attack_global",99.067535,99.067535,99.067535,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Farenvehn","rating_attack_league",101.584919,101.584919,101.584919,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Farenvehn","rating_defense_global",99.584405,99.584405,99.584405,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Farenvehn","rating_defense_league",96.677017,96.677017,96.677017,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Farenvehn","snowball_index_league",100.544754,100.544754,100.544754,100,0,,,"insufficient",1
2025-09-29,"team","CBLOL","Flamengo MDL","aggression_ahead_league",104.327496,99.857162,98.52647,101.350594,1.350594,0.01559,2.930527,"hot_accelerating",18
2025-09-29,"team","CBLOL","Flamengo MDL","aggression_behind_league",103.133277,98.684331,96.489126,102.27508,2.27508,0.025036,2.651231,"hot_accelerating",18
2025-09-29,"team","CBLOL","Flamengo MDL","combined_kills_per_minute",1.020059,0.927152,0.825792,112.274282,12.274282,0.148178,24.117557,"hot_accelerating",18
2025-09-29,"team","CBLOL","Flamengo MDL","deaths_per_minute",0.434695,0.426854,0.442862,96.385418,-3.614582,0.01445,94.094527,"cold_recovering",18
2025-09-29,"team","CBLOL","Flamengo MDL","game_length_minutes",31.758333,32.568822,33.35665,97.638168,-2.361832,-0.020178,15.475817,"cold_deteriorating",18
2025-09-29,"team","CBLOL","Flamengo MDL","kills_per_minute",0.585365,0.500298,0.38293,130.649891,30.649891,0.302835,82.743033,"hot_accelerating",18
2025-09-29,"team","CBLOL","Flamengo MDL","rating_attack_global",109.013082,100.27196,99.015196,101.269265,1.269265,0.016995,5.920809,"hot_accelerating",18
2025-09-29,"team","CBLOL","Flamengo MDL","rating_attack_league",113.84403,97.994617,92.665207,105.751253,5.751253,0.058672,9.898536,"hot_accelerating",18
2025-09-29,"team","CBLOL","Flamengo MDL","rating_defense_global",104.479594,97.73675,94.967939,102.915522,2.915522,0.023679,5.238889,"hot_accelerating",18
2025-09-29,"team","CBLOL","Flamengo MDL","rating_defense_league",102.279602,99.858384,99.893549,99.964797,-0.035203,-0.006091,3.256392,"balanced",18
2025-09-29,"team","CBLOL","Flamengo MDL","snowball_index_league",101.032698,99.405269,98.973593,100.436153,0.436153,-5.5e-05,1.797858,"balanced",18
2024-08-05,"team","CBLOL","Fluxo","aggression_ahead_league",92.518026,94.519019,96.69106,97.753628,-2.246372,-0.499169,1.839127,"cold_deteriorating",39
2024-08-05,"team","CBLOL","Fluxo","aggression_behind_league",98.314573,96.288278,96.446359,99.836095,-0.163905,-0.355635,1.894568,"cold_deteriorating",39
2024-08-05,"team","CBLOL","Fluxo","combined_kills_per_minute",0.768097,0.779956,0.765392,101.902868,1.902868,-0.267068,38.213317,"hot_cooling",39
2024-08-05,"team","CBLOL","Fluxo","deaths_per_minute",0.452437,0.472256,0.426796,110.651356,10.651356,3.500391,44.366601,"hot_accelerating",39
